"Data Source","世界发展指标",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"奥地利","AUT","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9838406249515","12.660377561586","13.4374532974626","13.7052795057165","13.2553274179823","14.5446442990015","15.3690086465969","15.4904308010257","15.0326439739244","14.4530598820163","12.8819108912998","11.645571290877","11.4767868361334","12.2643131705197",
"阿塞拜疆","AZE","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.30953105753179","1.14999298850957","1.01646064617202","1.36855164011305","1.73182119536215","8.55945912694865","13.7739671556635","7.72948184972899","3.89857188957376","2.81221076239962","3.30108229132255","4.34552545363719","4.95159343053583","7.09772436506763",
"布隆迪","BDI","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305334493764196","1.45729832506366","3.49266770916697","3.1959825567903","1.66362151202897","17.0427644195371","1.53136208409532","0.169516196680364",
"比利时","BEL","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46280126171333","8.94379659379267","11.3558327232899","9.26259236834637","8.673927465427","8.94089626981996","10.6391692817296","11.9385860280569","12.3344590355554","13.3305119505875","11.4912827141706","11.7053409292217","14.1433564175206","15.2486944932237",
"贝宁","BEN","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27585565497432","4.13534422451069","0.96442488490777","1.24488288115342","3.5817092049876","2.84200130452969","1.24998657922503","1.7650133576888",
"布基纳法索","BFA","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.745313488358338","7.90749736917449","7.3137905732583","8.63625833210371","13.9928608071931","11.0463358033366","5.28672173807105","5.94496730666326","5.92927687587252","5.93712339169291","25.8025793007849","3.40123432926648",
"孟加拉国","BGD","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.435480447343533","0.305861228136726","0.213021516849953","0.194923390445622","0.463362868939236","0.299088588318344","","0.307867105818581","","","","","",
"保加利亚","BGR","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.29338573600744","6.97008716364114","8.66205743043523","8.4007014777318","7.80911618019617","8.04178550628072","8.28438918910432","7.56472394080506","8.43060772110193","8.97748965402637","9.6299895349464","10.3687022811639","10.8470076925731","11.2950527401281",
"巴林","BHR","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0312131357967007","0.110260451881255","0.152292189337597","0.386616226227247","0.59203917318851","1.49913874372669","0.935614434102054","1.05834008831567","0.624948672679282","0.449029824764652","4.44818421054562","",
"巴哈马","BHS","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2711184255624E-05","0.00179611888453681","0","0","0","0","0","2.10443661128998","7.8029530461589","1.96612462216351","","",
"波斯尼亚和黑塞哥维那","BIH","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49999112289863","3.54054506569527","2.8331165866731","3.27169910224825","2.61783200727354","2.40453151351407","2.49515259054665","2.96382001817476","2.73442379163793","5.44354942831719","5.25473156264318","5.26612139796562","4.61445233775616",
"白俄罗斯","BLR","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43063173056662","3.14372282979656","3.05180285487584","2.55914233627893","2.83349214971724","4.59399149569043","4.1624495852732","4.47290061395103","4.8688383357966","4.39080950942431","4.05182753285749","4.2515827521191","4.76791759469546",
"伯利兹","BLZ","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.77557916753682","0","0","0","0","0","8.17033514658299E-05","0.0665460206063461","0","0.938241070842848",
"百慕大","BMU","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3484645513676","12.6000042320837","28.6041247114545","27.1615560732563","48.7853656585815","21.789001330971","17.0559345207546","6.94052236601703","5.48238753143226",
"玻利维亚","BOL","高科技出口（占制成品出口的百分比）","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67542211441062","4.42984611128875","4.93136664294941","8.39643411439583","13.2668520035063","9.22349644867709","9.36490981526169","8.0579022145625","6.40259439650351","4.45996650856574","5.87150718773484","5.04855558472721","3.44950378504856","4.32521776781914",
